Value,Disaggregation combinations using this value,Number of indicators
Achtrup,1,1
Ahrenshöft,1,1
Ahrenviöl,1,1
Ahrenviölfeld,1,1
Alkersum,1,1
Almdorf,1,1
Arlewatt,1,1
Aventoft,1,1
Bargum,1,1
Behrendorf,1,1
Bohmstedt,1,1
Bondelum,1,1
Bordelum,1,1
Borgsum,1,1
Bosbüll,1,1
Braderup,1,1
Bramstedtlund,1,1
Bredstedt,1,1
Breklum,1,1
Dagebüll,1,1
Drage,1,1
Drelsdorf,1,1
Dunsum,1,1
Elisabeth-Sophien-Koog,1,1
Ellhöft,1,1
Emmelsbüll-Horsbüll,1,1
Enge-Sande,1,1
Fresendelf,1,1
Friedrich-Wilh.-Lübke-Koog,1,1
Friedrichstadt,1,1
Galmsbüll,1,1
Garding Kirchspiel,1,1
Garding Stadt,1,1
Goldebek,1,1
Goldelund,1,1
Grothusenkoog,1,1
Gröde,1,1
Haselund,1,1
Hattstedt,1,1
Hattstedtermarsch,1,1
Hoernum,1,1
Holm,1,1
Hooge,1,1
Horstedt,1,1
Hude,1,1
Humptrup,1,1
Husum,1,1
Högel,1,1
Immenstedt,1,1
Joldelund,1,1
Kampen,1,1
Karlum,1,1
Katharinenheerd,1,1
Klanxbüll,1,1
Klixbüll,1,1
Koldenbüttel,1,1
Kolkerheide,1,1
Kotzenbüll,1,1
Ladelund,1,1
Langeneß,1,1
Langenhorn,1,1
Leck,1,1
Lexgaard,1,1
List,1,1
Löwenstedt,1,1
Lütjenholm,1,1
Midlum,1,1
Mildstedt,1,1
Nebel,1,1
Neukirchen,1,1
Nieblum,1,1
Niebüll,1,1
Norddorf,1,1
Norderfriedrichskoog,1,1
Nordstrand,1,1
Norstedt,1,1
Ockholm,1,1
Oevenum,1,1
Oldenswort,1,1
Oldersbek,1,1
Olderup,1,1
Oldsum,1,1
Ostenfeld,1,1
Oster-Ohrstedt,1,1
Osterhever,1,1
Pellworm,1,1
Poppenbüll,1,1
Ramstedt,1,1
Rantrum,1,1
Reußenköge,1,1
Risum-Lindholm,1,1
Rodenäs,1,1
Sankt Peter-Ording,1,1
Schwabstedt,1,1
Schwesing,1,1
Seeth,1,1
Simonsberg,1,1
Sollwitt,1,1
Sprakebüll,1,1
Stadum,1,1
Stedesand,1,1
Struckum,1,1
Sylt,1,1
Sönnebüll,1,1
Süderende,1,1
Süderhöft,1,1
Süderlügum,1,1
Südermarsch,1,1
Tating,1,1
Tetenbüll,1,1
Tinningstedt,1,1
Tönning,1,1
Tümlauer Koog,1,1
Uelvesbüll,1,1
Uphusum,1,1
Utersum,1,1
Viöl,1,1
Vollerwiek,1,1
Vollstedt,1,1
Welt,1,1
Wenningstedt-Braderup,1,1
Wester-Ohrstedt,1,1
Westerhever,1,1
Westre,1,1
Winnert,1,1
Wisch,1,1
Witsum,1,1
Wittbek,1,1
Wittdün,1,1
Witzwort,1,1
Wobbenbüll,1,1
Wrixum,1,1
Wyk,1,1
