Value,Disaggregation combinations using this value,Number of indicators
Amt Eiderstedt,17,1
Amt Föhr-Land,15,1
Amt Mittleres Nordfriesland,19,1
Amt Nordsee-Treene,28,1
Amt Pellworm,4,1
Amt Südtondern,30,1
Amt Viöl,13,1
Gemeinde Reußenköge,1,1
Gemeinde Sylt,5,1
Stadt Husum,1,1
