Disaggregation,Number of indicators,Number of values
data.antworten,1,2
data.bezirk,1,20
data.incident,1,10
data.kat,2,4
data.maintransport,1,4
data.noise,1,4
data.redlistcat,1,10
data.sex,4,4
data.spatialtypes,1,3
data.standort,1,3
data.zug,1,2
District,1,1
fLotte,1,3
Group,4,2
Ortsteil,1,15
Region,3,2
Status,2,3
