Year,Amt,Gemeinde,Value
2022,Amt Eiderstedt,Poppenbüll,761
2010,Amt Eiderstedt,Sankt Peter-Ording,503
2011,Amt Eiderstedt,Sankt Peter-Ording,516
2012,Amt Eiderstedt,Sankt Peter-Ording,570
2013,Amt Eiderstedt,Sankt Peter-Ording,578
2014,Amt Eiderstedt,Sankt Peter-Ording,577
2015,Amt Eiderstedt,Sankt Peter-Ording,556
2016,Amt Eiderstedt,Sankt Peter-Ording,563
2017,Amt Eiderstedt,Sankt Peter-Ording,562
2018,Amt Eiderstedt,Sankt Peter-Ording,588
2019,Amt Eiderstedt,Sankt Peter-Ording,602
2020,Amt Eiderstedt,Sankt Peter-Ording,611
2021,Amt Eiderstedt,Sankt Peter-Ording,634
2022,Amt Eiderstedt,Sankt Peter-Ording,641
2010,Amt Eiderstedt,Tating,575
2011,Amt Eiderstedt,Tating,587
2012,Amt Eiderstedt,Tating,611
2013,Amt Eiderstedt,Tating,617
2014,Amt Eiderstedt,Tating,625
2015,Amt Eiderstedt,Tating,627
2016,Amt Eiderstedt,Tating,636
2017,Amt Eiderstedt,Tating,622
2018,Amt Eiderstedt,Tating,630
2019,Amt Eiderstedt,Tating,657
2020,Amt Eiderstedt,Tating,681
2021,Amt Eiderstedt,Tating,670
2022,Amt Eiderstedt,Tating,697
2010,Amt Eiderstedt,Tetenbüll,641
2011,Amt Eiderstedt,Tetenbüll,643
2012,Amt Eiderstedt,Tetenbüll,620
2013,Amt Eiderstedt,Tetenbüll,625
2014,Amt Eiderstedt,Tetenbüll,624
2015,Amt Eiderstedt,Tetenbüll,629
2016,Amt Eiderstedt,Tetenbüll,659
2017,Amt Eiderstedt,Tetenbüll,675
2018,Amt Eiderstedt,Tetenbüll,690
2019,Amt Eiderstedt,Tetenbüll,778
2020,Amt Eiderstedt,Tetenbüll,744
2021,Amt Eiderstedt,Tetenbüll,741
2022,Amt Eiderstedt,Tetenbüll,761
2010,Amt Eiderstedt,Tönning,493
2011,Amt Eiderstedt,Tönning,499
2012,Amt Eiderstedt,Tönning,505
2013,Amt Eiderstedt,Tönning,513
2014,Amt Eiderstedt,Tönning,518
2015,Amt Eiderstedt,Tönning,531
2016,Amt Eiderstedt,Tönning,537
2017,Amt Eiderstedt,Tönning,537
2018,Amt Eiderstedt,Tönning,542
2019,Amt Eiderstedt,Tönning,555
2020,Amt Eiderstedt,Tönning,568
2021,Amt Eiderstedt,Tönning,582
2022,Amt Eiderstedt,Tönning,591
2010,Amt Eiderstedt,Tümlauer Koog,830
2011,Amt Eiderstedt,Tümlauer Koog,804
2012,Amt Eiderstedt,Tümlauer Koog,673
2013,Amt Eiderstedt,Tümlauer Koog,694
2014,Amt Eiderstedt,Tümlauer Koog,740
2015,Amt Eiderstedt,Tümlauer Koog,690
2016,Amt Eiderstedt,Tümlauer Koog,670
2017,Amt Eiderstedt,Tümlauer Koog,705
2018,Amt Eiderstedt,Tümlauer Koog,748
2019,Amt Eiderstedt,Tümlauer Koog,692
2020,Amt Eiderstedt,Tümlauer Koog,660
2021,Amt Eiderstedt,Tümlauer Koog,670
2022,Amt Eiderstedt,Tümlauer Koog,687
2010,Amt Eiderstedt,Vollerwiek,575
2011,Amt Eiderstedt,Vollerwiek,570
2012,Amt Eiderstedt,Vollerwiek,662
2013,Amt Eiderstedt,Vollerwiek,653
2014,Amt Eiderstedt,Vollerwiek,640
2015,Amt Eiderstedt,Vollerwiek,652
2016,Amt Eiderstedt,Vollerwiek,677
2017,Amt Eiderstedt,Vollerwiek,688
2018,Amt Eiderstedt,Vollerwiek,682
2019,Amt Eiderstedt,Vollerwiek,670
2020,Amt Eiderstedt,Vollerwiek,689
2021,Amt Eiderstedt,Vollerwiek,716
2022,Amt Eiderstedt,Vollerwiek,738
2010,Amt Eiderstedt,Welt,569
2011,Amt Eiderstedt,Welt,581
2012,Amt Eiderstedt,Welt,590
2013,Amt Eiderstedt,Welt,614
2014,Amt Eiderstedt,Welt,612
2015,Amt Eiderstedt,Welt,673
2016,Amt Eiderstedt,Welt,652
2017,Amt Eiderstedt,Welt,678
2018,Amt Eiderstedt,Welt,687
2019,Amt Eiderstedt,Welt,716
2020,Amt Eiderstedt,Welt,737
2021,Amt Eiderstedt,Welt,779
2022,Amt Eiderstedt,Welt,801
2010,Amt Eiderstedt,Westerhever,742
2011,Amt Eiderstedt,Westerhever,718
2012,Amt Eiderstedt,Westerhever,672
2013,Amt Eiderstedt,Westerhever,661
2014,Amt Eiderstedt,Westerhever,698
2015,Amt Eiderstedt,Westerhever,752
2016,Amt Eiderstedt,Westerhever,798
2017,Amt Eiderstedt,Westerhever,738
2018,Amt Eiderstedt,Westerhever,765
2019,Amt Eiderstedt,Westerhever,842
2020,Amt Eiderstedt,Westerhever,851
2021,Amt Eiderstedt,Westerhever,870
2022,Amt Eiderstedt,Westerhever,869
2010,Amt Föhr-Land,Alkersum,570
2011,Amt Föhr-Land,Alkersum,556
2012,Amt Föhr-Land,Alkersum,544
2013,Amt Föhr-Land,Alkersum,539
2014,Amt Föhr-Land,Alkersum,563
2015,Amt Föhr-Land,Alkersum,572
2016,Amt Föhr-Land,Alkersum,598
2017,Amt Föhr-Land,Alkersum,604
2018,Amt Föhr-Land,Alkersum,640
2019,Amt Föhr-Land,Alkersum,590
2020,Amt Föhr-Land,Alkersum,593
2021,Amt Föhr-Land,Alkersum,632
2022,Amt Föhr-Land,Alkersum,624
2010,Amt Föhr-Land,Borgsum,506
2011,Amt Föhr-Land,Borgsum,512
2012,Amt Föhr-Land,Borgsum,563
2013,Amt Föhr-Land,Borgsum,566
2014,Amt Föhr-Land,Borgsum,537
2015,Amt Föhr-Land,Borgsum,533
2016,Amt Föhr-Land,Borgsum,569
2017,Amt Föhr-Land,Borgsum,610
2018,Amt Föhr-Land,Borgsum,617
2019,Amt Föhr-Land,Borgsum,648
2020,Amt Föhr-Land,Borgsum,646
2021,Amt Föhr-Land,Borgsum,671
2022,Amt Föhr-Land,Borgsum,701
2010,Amt Föhr-Land,Dunsum,563
2011,Amt Föhr-Land,Dunsum,563
2012,Amt Föhr-Land,Dunsum,612
2013,Amt Föhr-Land,Dunsum,582
2014,Amt Föhr-Land,Dunsum,586
2015,Amt Föhr-Land,Dunsum,620
2016,Amt Föhr-Land,Dunsum,636
2017,Amt Föhr-Land,Dunsum,635
